x,y,z,density
2430524.25,-785600.875,1413181.0,1
1029935.9375,-68884.1015625,-2134454.25,1
2516815.5,39812.234375,-678781.0,1
1592097.125,1459328.75,-1028782.3125,1
2907381.0,452368.78125,1017149.8125,1
-264282.3125,21598.263671875,3259649.0,1
2125608.5,-637581.875,-517739.09375,1
1391219.125,1177615.5,-1023515.5625,1
-509.5847473144531,-424049.75,2243413.25,1
2056418.0,-50343.5078125,-719766.625,1
2915586.25,138984.515625,1591825.0,1
2644318.25,-908666.875,643274.75,1
1759856.625,-21201.880859375,135886.28125,1
2745249.5,-629177.75,-452322.375,1
1748079.875,-7367.33056640625,-2540587.75,1
3096504.25,-173498.375,1434387.0,1
1188692.875,-576492.375,-226636.171875,1
3000752.25,1331568.375,-82274.9296875,1
-44159.08203125,231441.65625,3118705.5,1
2334253.75,156809.046875,-1064669.625,1
1279374.125,-82561.03125,-1286424.375,1
2364451.5,113586.8984375,714287.5,1
2469791.25,-239226.71875,1195221.875,1
2388953.5,366655.78125,1921145.5,1
1311152.875,2161019.0,2260995.25,1
2565388.25,4194.62353515625,-2201002.25,1
2097354.75,626885.0625,461113.1875,1
2428425.5,-116205.9765625,-2154778.5,1
2333518.5,107378.4140625,-1534332.25,1
105465.375,374952.5,791600.0625,1
885818.5625,-409780.09375,-1342132.875,1
593634.5,161907.171875,-1610667.75,1
1612983.5,2055450.125,1535750.625,1
2475798.0,372976.03125,1489341.75,1
332900.90625,710460.5625,-1826990.875,1
3352099.5,-22714.583984375,411020.40625,1
2464404.5,337258.125,271601.1875,1
3222399.25,427409.71875,406425.5,1
1948364.25,981402.75,826285.25,1
2939925.0,559882.25,636253.8125,1
1717172.0,-180733.46875,-1935261.0,1
-429441.84375,-102532.9609375,1843017.125,1
653154.75,16959.765625,-3278890.75,1
690479.875,-1144924.125,2095115.125,1
1140884.5,-363550.9375,1732867.25,1
2898932.75,-64583.35546875,1917300.375,1
2503553.5,1262860.75,-416552.78125,1
1438769.5,73387.7734375,-2034738.875,1
221293.625,-213643.09375,1309257.25,1
1704045.125,-646016.0,1267660.5,1
545760.0625,245866.375,9981.3525390625,1
2345747.0,-264027.53125,295273.09375,1
2824259.5,-377096.875,1223080.125,1
3218711.75,-861511.375,-386983.75,1
1603553.5,822036.875,2020916.75,1
2548765.25,63895.01171875,925284.5625,1
2942047.0,-5885.0830078125,-1877694.0,1
26173.3671875,-179994.515625,-1272629.625,1
-1027.389404296875,738241.5625,203735.796875,1
3175979.25,-193330.796875,-844604.0625,1
-132616.78125,-139495.65625,2089407.875,1
1860527.25,-255217.1875,-684125.875,1
2620233.0,274066.71875,2044854.125,1
-1003542.4375,-243134.234375,-101584.15625,1
1162779.5,78329.2109375,-2465002.0,1
2130238.25,85646.109375,242152.359375,1
2994229.75,243902.34375,-588427.6875,1
-1147175.5,2680575.25,358967.0,1
1178223.5,-423397.59375,548721.5625,1
323144.0,382771.4375,67439.75,1
3451218.25,44091.03125,-347448.125,1
2960951.75,-75303.6796875,-547182.8125,1
2275372.0,47214.59375,561739.0,1
2278717.25,-419963.03125,1261597.0,1
3384396.5,-2474.413330078125,-309636.09375,1
508790.8125,-106356.65625,-34391.296875,1
2659781.25,-685057.5,-295932.875,1
692697.6875,-280723.0,1761332.125,1
1343914.375,61304.5546875,662538.0,1
762773.625,8843.49609375,-3409003.5,1
2407353.5,936108.875,-583059.25,1
2755033.25,80418.265625,-1074676.25,1
1324541.375,-608331.3125,2721808.5,1
2255765.5,411880.84375,-199308.5,1
701401.4375,869115.75,-1934026.75,1
1843843.75,330731.5,2303268.75,1
2877583.25,765975.8125,-221410.890625,1
1574848.75,107792.6875,-585540.125,1
1002428.0,-1201004.625,980574.125,1
1691332.0,-133831.640625,576926.9375,1
-1321152.625,-434708.8125,2878635.25,1
2734407.75,-1557.390380859375,-883548.4375,1
2706642.5,468669.28125,2032161.5,1
1587464.875,250132.15625,1660658.75,1
1313802.875,3893.472412109375,-3199819.5,1
2240202.0,112348.296875,-383027.96875,1
2374689.25,-28584.658203125,-1248304.25,1
-1071813.5,-626597.875,1522855.875,1
2115109.0,526730.125,-1453552.0,1
2581449.0,-34949.0859375,-1420053.25,1
2404878.0,371540.03125,2008072.25,1
2030035.0,-31502.86328125,-2728182.5,1
260213.234375,-1469037.25,743052.0,1
2192901.0,-14640.2978515625,-1285927.0,1
52627.0546875,-236811.078125,394384.40625,1
1233120.625,122378.0625,-452084.46875,1
3447227.25,1192.347412109375,-715225.25,1
1091143.875,-520487.375,-1985116.875,1
697467.3125,118799.6171875,-923309.75,1
1530623.875,859484.75,1191769.75,1
